"Id","Name","ProductCode","Unique_id__c","type__c"
"01t1I000002RUQxQAO","Préstamo comercial CP (manual)","PC00001","0160010","Direct"
"01t1I000002RUQyQAO","Comex importación (manual)","PC00002","0161720","Direct"
"01t1I000002RUQzQAO","Comex exportación (manual)","PC00003","0161710","Direct"
"01t1I000002RUR0QAO","Letras (manual)","PC00005","0159501","Direct"
"01t1I000002RUR1QAO","Préstamo comercial LP (manual)","PC00009","PC00009","Direct"
"01t1I000002RUR2QAO","Leasing (manual)","PC00010","0159601","Direct"
"01t1I000002RUR3QAO","Carta fianza técnica (manual)","PC00011","0292235","Indirect"
"01t1I000002RUR4QAO","Carta fianza económica (manual)","PC00012","0292230","Indirect"
"01t1I000002RUR5QAO","Vista PJ","PC00016","0240011",""
"01t1I000002RUR6QAO","Pago a proveedores","PC00029","08",""
"01t1I000002RUR7QAO","Pago de haberes","PC00030","09",""
"01t1I000002RUR8QAO","Net Cash","PC00032","21",""
"01t1I000002RUR9QAO","PFL","PC00040","PC00040",""
"01t1I000002RURAQA4","PFF","PC00041","PC00041",""
"01t1I000002RURBQA4","PFA","PC00042","PC00042",""
"01t1I0000039hA5QAI","Préstamo comercial CP","PC00001","0160010_NEW","Direct"
"01t1I000003hVndQAE","Préstamo comercial","PC00009_Depre","PC00009_V1_DEPRECATED","Direct"
"01t1I000003hVneQAE","Leasing","PC00010_Depre","0159601_V1_DEPRECATED","Direct"
"01t1I000003hVnfQAE","Carta fianza técnica","PC00011_Depre","0292235_V1_DEPRECATED","Indirect"
"01t1I000003hVngQAE","Carta fianza economica","PC00012_Depre","0292230_V1_DEPRECATED","Indirect"
"01t1I000004M4ZUQA0","Factoring","PC00006","0159502","Direct"
"01t1I000004M4ZVQA0","Forward","PC00036","PC00036",""
"01t1I000004N6OGQA0","FX","PC00035","PC00035",""
"01t1I000004N6OHQA0","Depósito a plazo","PC00018","0241041",""
"01t1I000004e0kTQAQ","Carta de crédito de importación","PC00014","0292410","Indirect"
"01t1I000004e0kUQAQ","Carta de crédito de exportación","PC00015","0292430","Indirect"
"01t1I000004e0kVQAQ","Stand by","PC00013","0292420",""
"01t1I000004pqzuQAA","Préstamo comercial LP","PC00009","PC00009_NEW","Direct"
"01t1I000004pqzvQAA","Comex importación","PC00002","0161720_NEW","Direct"
"01t1I000004pqzwQAA","Comex exportación","PC00003","0161710_NEW","Direct"
"01t1I000004pqzxQAA","Leasing","PC00010","0159601_NEW","Direct"
"01t1I000004pqzyQAA","Letras","PC00005","0159501_NEW","Direct"
"01t1I000004pqzzQAA","Forfaiting","PC00004","0161730","Direct"
"01t1I000004pr00QAA","Carta fianza técnica","PC00011","0292235_NEW","Indirect"
"01t1I000004pr01QAA","Carta fianza económica","PC00012","0292230_NEW","Indirect"
