"CURRENCYISOCODE","DWP_DACE__RULES_SET_ID__R.DWP_DACE__RULES_SET_UNIQUE_ID__C","DWP_DACE__RULE_ID__R.DWP_DACE__RULE_UNIQUE_ID__C","DWP_DACE__RULE_ORDER_NUM__C","DWP_DACE__RULES_SET_RULE_ACTIVE_TYPE__C"
"PEN","CASE_BUTTON_COLLECTION_RULE_SET_01","CASE_RULE_1","1.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_04","6.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_15","17.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_20","22.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_13","15.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_19","21.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_02","2.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_16","18.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_18","20.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P02","2.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_10","12.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_14","16.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_12","14.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_08","10.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_11","13.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_05","7.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_03","5.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_07","9.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_09","11.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_06","8.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_23","25.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_01","3.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_17","19.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P01","1.0","true"
"PEN","PRODUCT_FORM_RULE_SET_02","OPP_RULE_P03","3.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_22","24.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_24","26.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_27","29.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_25","27.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_26","28.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_21","23.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_02_PRE","1.0","true"
"PEN","BUTTON_COLLECTION_RULE_SET_01","OPP_RULE_03_PRE","4.0","true"
